[2025-10-02 16:48:37] [INFO    ] discord.client: logging in using static token
[2025-10-02 16:48:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'eli5-bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1423410823740788837', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1824', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '0a7cf3acadeef4ee205e633f9e15393b', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1423422734599454844'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-west', 'santa-clara', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1423410823740788837', 'flags': 8945664}, '_trace': ['["gateway-prd-arm-us-east1-d-8xxc",{"micros":139103,"calls":["id_created",{"micros":352,"calls":[]},"session_lookup_time",{"micros":3355,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-114",{"micros":133910,"calls":["start_session",{"micros":110290,"calls":["discord-api-rpc-84d5487549-b7q5z",{"micros":55062,"calls":["get_user",{"micros":18766},"get_guilds",{"micros":2377},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":41425},"apex_experiments",{"micros":7438},"user_activities",{"micros":10},"played_application_ids",{"micros":5}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":7373,"calls":[]},"guilds_started",{"micros":54,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":16122,"calls":[]},"connect_finished",{"micros":16146,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-10-02 16:48:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 16:48:38] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0a7cf3acadeef4ee205e633f9e15393b).
[2025-10-02 16:48:38] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-02 16:48:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'max_video_channel_users': 25, 'icon': None, 'owner_id': '582694456663212242', 'profile': None, 'inventory_settings': None, 'voice_states': [], 'emojis': [], 'incidents_data': None, 'activity_instances': [], 'explicit_content_filter': 0, 'id': '1423422734599454844', 'rules_channel_id': None, 'name': 'First bot server', 'system_channel_flags': 0, 'stage_instances': [], 'large': False, 'preferred_locale': 'en-US', 'members': [{'user': {'username': 'eli5-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1423410823740788837', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1824', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1423423210761883672'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T21:35:39.451000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_scheduled_events': [], 'threads': [], 'vanity_url_code': None, 'application_id': None, 'roles': [{'version': 1759440825993, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1423422734599454844', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759440939436, 'unicode_emoji': None, 'tags': {'bot_id': '1423410823740788837'}, 'position': 1, 'permissions': '326686338112', 'name': 'eli5-bot', 'mentionable': False, 'managed': True, 'id': '1423423210761883672', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_progress_bar_enabled': False, 'description': None, 'hub_type': None, 'features': [], 'presences': [], 'channels': [{'version': 1759440825998, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1423422735236726937', 'flags': 0}, {'version': 1759440826003, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1423422735236726938', 'flags': 0}, {'version': 1759440826008, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1423422735236726937', 'name': 'general', 'last_message_id': '1423456145909223535', 'id': '1423422735236726939', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1759440826012, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1423422735236726938', 'name': 'General', 'last_message_id': None, 'id': '1423422735236726940', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'afk_channel_id': None, 'premium_subscription_count': 0, 'max_members': 25000000, 'verification_level': 0, 'max_stage_video_channel_users': 50, 'joined_at': '2025-10-02T21:35:39.451000+00:00', 'owner_configured_content_level': 0, 'system_channel_id': '1423422735236726939', 'soundboard_sounds': [], 'nsfw': False, 'safety_alerts_channel_id': None, 'splash': None, 'discovery_splash': None, 'embedded_activities': [], 'latest_onboarding_question_id': None, 'banner': None, 'nsfw_level': 0, 'moderator_reporting': None, 'premium_tier': 0, 'member_count': 2, 'unavailable': False, 'version': 1759441955306, 'public_updates_channel_id': None, 'default_message_notifications': 0, 'region': 'deprecated', 'stickers': [], 'lazy': True, 'mfa_level': 0, 'application_command_counts': {}, 'premium_features': None, 'home_header': None, 'afk_timeout': 300}}
[2025-10-02 16:48:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 16:48:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '5e2968ec7e5d085e84f821679d63bd00', 'members': [{'user': {'username': 'ahmad__sawalha', 'public_flags': 0, 'primary_guild': None, 'id': '582694456663212242', 'global_name': 'Ahmad', 'display_name_styles': None, 'display_name': 'Ahmad', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ea2b2378b3aad78c4c3d4b576463b7af'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T21:33:45.936000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'eli5-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1423410823740788837', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1824', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1423423210761883672'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T21:35:39.451000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1423422734599454844', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-02 16:48:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 16:48:38] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1423422734599454844.
[2025-10-02 16:48:40] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-02 16:48:40] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-02 16:48:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '582694456663212242', 'timestamp': 1759448935, 'member': {'user': {'username': 'ahmad__sawalha', 'public_flags': 0, 'primary_guild': None, 'id': '582694456663212242', 'global_name': 'Ahmad', 'display_name_styles': None, 'display_name': 'Ahmad', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ea2b2378b3aad78c4c3d4b576463b7af'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T21:33:45.936000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1423422735236726939', 'guild_id': '1423422734599454844'}}
[2025-10-02 16:48:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 16:48:52] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-02 16:48:52] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-02 16:48:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T23:49:00.803000+00:00', 'pinned': False, 'nonce': '1423456757534949376', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T21:33:45.936000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423456771204452364', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!explain why the sky is blue', 'components': [], 'channel_type': 0, 'channel_id': '1423422735236726939', 'author': {'username': 'ahmad__sawalha', 'public_flags': 0, 'primary_guild': None, 'id': '582694456663212242', 'global_name': 'Ahmad', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'ea2b2378b3aad78c4c3d4b576463b7af'}, 'attachments': [], 'guild_id': '1423422734599454844'}}
[2025-10-02 16:48:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 16:48:58] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 16:48:58] [DEBUG   ] discord.client: Dispatching event command
[2025-10-02 16:48:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423422735236726939/typing with None has returned 204
[2025-10-02 16:48:58] [DEBUG   ] discord.http: POST /channels/{channel_id}/typing has found its initial rate limit bucket hash (b3c972d7573fa7e2caf7f22fae7caacb).
[2025-10-02 16:48:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423422735236726939/typing has received 
[2025-10-02 16:49:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '1423410823740788837', 'timestamp': 1759448941, 'member': {'user': {'username': 'eli5-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1423410823740788837', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1824', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1423423210761883672'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T21:35:39.451000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1423422735236726939', 'guild_id': '1423422734599454844'}}
[2025-10-02 16:49:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 16:49:04] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-02 16:49:04] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-02 16:49:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-02T23:49:07.447000+00:00', 'pinned': False, 'nonce': '6081212163604975283', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1423423210761883672'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-02T21:35:39.451000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1423456799071272960', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'The sky looks blue because of a process called scattering. When sunlight reaches Earth, it’s made up of different colors, like a rainbow. Each color has its own wavelength, and blue light has a shorter wavelength than other colors.\n\nAs sunlight passes through the atmosphere, it hits tiny particles in the air. The blue light gets scattered in all directions more than the other colors because of its shorter wavelength. This scattering makes the sky appear blue to our eyes. \n\nSo, when you look up during the day, you see a blue sky because the blue light from the sun is being spread out all around!', 'components': [], 'channel_type': 0, 'channel_id': '1423422735236726939', 'author': {'username': 'eli5-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1423410823740788837', 'global_name': None, 'display_name_styles': None, 'discriminator': '1824', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1423422734599454844'}}
[2025-10-02 16:49:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 16:49:04] [DEBUG   ] discord.client: Dispatching event message
[2025-10-02 16:49:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423422735236726939/messages with {"content":"The sky looks blue because of a process called scattering. When sunlight reaches Earth, it\u2019s made up of different colors, like a rainbow. Each color has its own wavelength, and blue light has a shorter wavelength than other colors.\n\nAs sunlight passes through the atmosphere, it hits tiny particles in the air. The blue light gets scattered in all directions more than the other colors because of its shorter wavelength. This scattering makes the sky appear blue to our eyes. \n\nSo, when you look up during the day, you see a blue sky because the blue light from the sun is being spread out all around!","components":[],"nonce":"6081212163604975283","enforce_nonce":true,"tts":false} has returned 200
[2025-10-02 16:49:04] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-02 16:49:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1423422735236726939/messages has received {'type': 0, 'content': 'The sky looks blue because of a process called scattering. When sunlight reaches Earth, it’s made up of different colors, like a rainbow. Each color has its own wavelength, and blue light has a shorter wavelength than other colors.\n\nAs sunlight passes through the atmosphere, it hits tiny particles in the air. The blue light gets scattered in all directions more than the other colors because of its shorter wavelength. This scattering makes the sky appear blue to our eyes. \n\nSo, when you look up during the day, you see a blue sky because the blue light from the sun is being spread out all around!', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-02T23:49:07.447000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1423456799071272960', 'channel_id': '1423422735236726939', 'author': {'id': '1423410823740788837', 'username': 'eli5-bot', 'avatar': None, 'discriminator': '1824', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6081212163604975283'}
[2025-10-02 16:49:04] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-02 16:49:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:49:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:50:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:50:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:50:41] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:50:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:51:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:51:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:52:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:52:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:52:45] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:52:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:53:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:53:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:54:08] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:54:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:54:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:54:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:55:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:55:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:56:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:56:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:56:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:56:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:57:34] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:57:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:58:15] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:58:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 16:58:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-02 16:58:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
